序号,名称,B站动漫社UID,B站相应账号名称,是否有术力口社团,B站术力口社团UID,名称
303,上海电机学院,397153032,电机ottk现视研,否,,
304,辽宁大学,399263675,秘银动漫社,否,,
305,北京理工大学,409779881,黑白漫画社本社,否,,
306,华南师范大学,412952069,漫有引力漫社,否,,
307,长郡中学,416148271,长郡中学のACG社,否,,
308,吉林大学,418629035,吉-ACG现视研,否,,
309,南京铁道职业技术学院,419204763,绯天动漫社,否,,
310,河南中医药大学,419516756,漫联萌official,否,,
311,长沙师范学院,422860343,禾几动漫研究社,否,,
312,首都医科大学,430655345,飞翼动漫社,否,,
313,内蒙古大学,430763759,内蒙古大学迷漫天空,否,,
314,厦门大学思明校区,431466076,厦大本部静迹动漫社,否,,
315,中南大学,431493191,中南异次元动漫社,否,,
316,厦门大学,431853969,静迹动漫社,否,,
317,成都医学院,433921485,空之轨迹动漫社,否,,
318,上海立信会计金融学院,434167308,SLU超负荷漫协,否,,
319,吉林动画学院,435257846,幻醒旅团,否,,
320,广东轻工职业技术大学,436602074,自由天空动漫社,否,,
321,大连海事大学,442778569,DarkBlue深蓝动漫社,否,,
322,郑州师范学院,443195202,郑州师范学院AOI动漫社,否,,
323,晋中学院,472111640,-零点动漫社-,否,,
324,南京林业大学,473143496,南林淮安-ZERO动漫社,否,,
325,中国传媒大学,473974344,Try音乐部,否,,
326,广东理工学院,474658159,SAT动漫社,否,,
327,上海应用科技大学,476716538,sit圈角匡叉动漫社,否,,
328,四川大学,479355968,红动漫社杀鸽苑,否,,
329,浙江理工大学科技与艺术学院,479654293,酷show动漫社,否,,
330,武汉软件工程职业学院,481521552,樱之语协会_Aki娘,否,,
331,汕头职业技术学院,482066934,汕职院ACG动漫协会,否,,
332,商丘师范学院,483780717,翎光动漫社,否,,
333,西京学院,486136836,动漫Tribe,否,,
334,上海体育大学,491656433,上海体育大学镜动漫社,否,,
335,中国政法大学,496967138,CUPL法大风云动漫社,否,,
336,西安信息职业大学,500463537,拂晓动漫协会,否,,
337,山东财经大学,527141952,星骑动漫社,否,,
338,中南大学,544486636,CSU-次元娘Official,否,,
339,华东师范大学,596049583,华东师大七草动漫协会,否,,
340,重庆师范大学,597292190,重师痕迹动漫协会,否,,
341,安徽农业大学,600447944,TNT动漫社,否,,
342,西安石油大学,618599191,祈煜动漫社_,否,,
343,电子科技大学,627276675,电子科技大学动漫社,否,,
344,上海电力大学,648356919,上电SKY动漫社星空娘,否,,
345,东华大学,677131252,翼想乡动漫社,否,,
346,西安理工大学,690164604,曜墨琰华动漫社,否,,
347,南京审计大学,698841023,天下动漫社_夏甜,否,,
348,南宁职业技术学院,700816326,南职SEVEN动漫社,否,,
349,山东大学,1018612522,青柠现视研,否,,
350,浙江育英职业技术学院,1105820674,FS-comic动漫社,否,,
351,辽宁对外经贸学院,1108532549,时音社团,否,,
352,三江学院,1275437503,-异阶魔方动漫社-,否,,
353,广西农业职业技术大学,1367369371,玖玖动漫队,否,,
354,浙江海洋大学,1394458824,原味动漫社,否,,
355,电子科技大学,1422928475,关关和婴婴official,否,,
356,内蒙古大学,1526895239,EZ动漫社,否,,
357,燕京理工大学,1536537368,Freecos动漫社,否,,
358,江南大学,1551196027,共振动漫社,否,,
359,南宁师范大学,1556461136,拓歌动漫社,否,,
360,湖南师范大学医学院,1560693270,二次元联萌社官方娘,否,,
361,华中科技大学,1577097749,兰枫Official,否,,
362,新疆科技学院,1577924610,巴音漫语社,否,,
363,中山市中等专业学校,1601402656,零鹿动漫社Official,否,,
364,丽江师范学院,1674069124,丽师猫之预感动漫社,否,,
365,安徽医科大学,1699715677,黑竍字动漫社_Official,否,,
366,上海政法学院,1704696866,SHUPL耀月动漫社,否,,
367,江苏警官学院,1708644198,真-疾岚动漫社,否,,
368,华中师范大学,1713796324,华中师大三叶草动漫社,否,,
369,浙江工业大学,1748498925,AppleTree动漫社,否,,
370,湖北医药学院,1750919513,湖北医药学院Ci漫协,否,,
371,兰州工商学院,1781566552,兰工商Animic动漫社,否,,
372,湖北科技职业学院,1782544588,湖科职Clannad动漫社,否,,
